"id_ltable","id_rtable"
255,871
865,937
108,123
1062,986
929,977
1040,186
1071,103
135,145
968,359
216,374
553,598
214,3
974,1080
277,520
351,205
439,579
904,932
447,412
721,894
738,835
1036,1055
685,732
308,346
125,129
829,920
760,469
1079,22
109,99
786,311
261,336
1007,251
815,704
959,927
672,909
611,695
1018,485
781,748
957,958
894,923
21,196
395,188
47,79
857,1012
201,279
483,793
762,69
31,643
679,720
309,956
597,833
564,982
528,709
251,415
879,1076
390,393
683,893
194,81
913,1002
233,291
29,43
384,438
1078,382
220,314
890,540
424,751
596,584
521,535
831,924
65,74
552,599
644,635
320,396
242,284
742,774
232,184
357,432
5,191
749,638
299,423
477,844
267,348
180,132
169,248
1025,8
776,1073
54,64
810,221
680,840
115,52
468,604
522,537
1023,484
134,9
57,106
1015,1081
338,329
316,796
123,78
614,637
867,1001
478,437
98,193
354,276
667,232
1000,619
770,625
502,553
583,660
634,525
780,480
238,368
34,36
559,878
93,97
381,465
497,881
701,865
574,582
137,238
59,16
936,681
363,409
26,201
393,434
861,858
931,1031
779,655
347,441
415,384
758,90
234,495
775,914
556,597
1048,735
209,481
166,829
237,14
610,721
16,223
147,141
651,884
170,160
446,907
164,73
85,155
1051,298
1075,569
121,128
996,1040
999,1075
23,491
605,523
711,789
598,528
501,561
619,863
456,510
1046,962
899,946
582,668
380,397
451,980
269,349
536,1048
506,343
737,889
649,714
897,944
273,363
72,76
863,503
724,737
44,194
587,229
192,264
612,616
219,285
323,339
297,424
398,420
492,296
235,218
193,263
319,476
148,246
211,320
937,929
813,1070
10,34
1042,852
81,257
1068,1090
798,152
882,910
295,171
78,80
543,758
470,674
970,682
555,411
1002,249
763,830
480,792
110,101
28,48
573,710
230,351
218,12
445,573
690,786
247,326
285,277
793,130
311,474
778,6
885,587
883,911
1019,439
739,624
350,444
754,832
943,1028
643,634
397,288
96,88
457,509
700,555
173,334
873,1060
1013,802
248,180
226,446
592,691
371,289
217,286
671,676
105,478
712,787
1004,496
257,313
1035,1078
471,673
463,711
268,347
340,407
1026,10
673,783
1037,849
799,162
25,21
225,445
252,350
922,1009
205,282
657,632
586,617
709,891
409,95
118,131
294,862
314,417
554,502
243,312
590,656
976,975
618,719
136,360
458,508
420,303
430,31
362,620
735,775
406,487
142,173
872,608
687,846
422,352
627,472
104,113
691,784
622,527
82,68
227,125
186,356
812,903
360,358
766,539
659,672
396,499
61,77
741,1021
487,544
190,139
823,15
878,1062
304,917
505,558
773,808
452,507
179,169
353,433
167,159
920,1010
939,151
935,990
807,790
1047,297
499,560
854,369
20,40
1060,661
620,667
806,421
22,62
740,890
158,207
435,2
426,287
83,200
324,567
364,443
977,402
39,984
524,512
315,416
99,18
49,102
990,1041
511,664
1073,330
270,344
563,723
787,390
67,224
108,122
706,981
154,240
548,595
838,814
133,202
575,585
925,1051
293,147
532,879
1041,1023
19,39
182,163
199,236
1059,447
544,716
150,208
46,212
77,108
88,49
547,593
352,293
171,45
377,7
341,410
344,110
290,394
208,294
864,430
346,436
647,1034
667,366
911,1015
803,694
688,618
24,42
185,318
86,210
824,490
653,842
715,699
399,157
817,707
954,309
853,971
486,542
132,151
434,85
503,557
462,11
464,576
490,403
545,717
579,693
296,376
1014,1059
174,182
848,825
869,859
1077,897
292,100
746,752
336,392
767,805
769,622
962,965
593,615
804,696
719,800
537,642
1008,998
705,733
427,460
566,647
694,888
113,233
329,57
143,245
484,609
726,150
730,779
124,82
122,146
638,882
95,87
70,952
983,941
516,591
978,1049
366,488
388,456
581,675
510,592
431,310
440,554
321,479
684,900
992,953
820,429
912,1016
459,482
467,603
71,109
508,612
239,365
60,46
101,135
461,876
988,1022
359,308
405,552
13,197
717,780
633,1024
662,621
383,1027
998,1013
837,333
981,1067
40,54
284,121
162,111
374,331
808,60
172,260
27,47
313,739
782,726
196,117
956,428
159,239
263,492
822,718
789,517
877,988
816,703
379,1038
450,506
116,25
1069,518
515,549
66,316
345,419
84,148
332,389
187,315
984,1039
615,636
15,56
1017,1043
927,974
43,178
747,727
306,118
128,28
893,906
163,235
80,75
982,1052
784,810
842,819
2,33
866,938
950,500
175,183
971,957
97,38
1058,997
945,955
606,524
748,648
560,589
266,340
656,809
603,1084
188,869
640,708
437,750
203,167
407,24
1022,489
888,979
355,860
652,838
995,1019
475,1045
12,58
391,262
807,442
534,515
289,345
580,680
628,473
3,195
785,435
774,807
665,640
669,588
616,486
454,449
198,89
1021,115
441,493
466,577
286,323
141,948
1070,383
953,745
1043,1088
276,305
744,899
8,37
932,1030
581,1083
874,935
787,143
442,580
62,59
465,602
279,301
496,563
790,605
361,477
584,651
969,1044
609,698
1030,1054
127,27
494,530
629,873
733,887
828,950
202,256
561,760
1020,813
1009,583
414,741
370,475
979,1057
94,98
529,762
594,516
429,226
325,564
102,209
655,504
636,734
725,687
966,1068
714,788
1072,623
830,519
811,904
6,213
337,700
149,270
177,457
1080,17
791,292
917,1007
100,26
518,404
540,590
416,164
51,354
900,574
183,281
818,804
577,654
469,578
428,513
184,275
74,870
681,930
752,901
139,919
144,278
613,729
682,892
850,826
591,690
839,824
