"id_ltable","id_rtable"
771,831
518,991
646,1033
793,130
413,951
542,806
417,166
806,421
807,442
811,904
812,903
177,167
184,275
828,950
575,585
319,1025
836,1035
713,699
203,167
715,692
78,80
590,692
593,615
978,1049
473,742
862,1025
225,445
612,616
103,405
750,828
251,415
636,734
253,459
766,405
649,714
650,728
524,512
1044,915
803,694
804,696
560,512
566,647
569,646
829,920
579,693
580,680
581,675
582,668
583,660
584,651
847,999
849,970
721,894
853,971
725,687
601,836
986,916
858,1026
990,575
609,698
611,695
618,719
620,667
877,988
496,563
502,553
635,663
1017,1043
258,206
394,848
655,504
401,242
275,867
21,196
406,487
150,208
1051,298
668,748
283,532
929,977
930,987
931,1031
933,1032
934,1029
935,990
425,464
936,681
303,498
50,55
311,474
312,388
313,739
573,710
974,1080
976,975
980,1037
981,1067
982,1052
854,369
861,857
863,503
864,430
995,1019
869,859
616,486
1,154
898,1065
4,153
791,292
154,240
928,940
680,840
47,79
945,955
175,183
707,841
324,567
709,891
201,279
591,690
592,691
465,602
723,895
467,603
85,155
468,604
983,941
991,601
992,953
736,885
613,729
744,899
879,1076
626,472
627,472
628,473
119,120
767,805
662,621
390,393
777,883
146,140
147,514
538,1027
284,121
427,460
830,519
837,333
336,621
999,1075
104,113
1004,496
658,670
1011,517
756,514
659,672
120,268
660,671
250,140
383,1027
396,499
271,377
528,709
529,762
530,866
531,763
532,709
532,762
532,866
549,322
296,377
300,375
302,499
461,876
206,499
210,322
211,320
729,521
221,422
228,319
742,771
1007,377
247,326
249,877
634,525
687,846
900,935
903,961
904,932
521,535
522,537
520,536
519,538
866,536
866,794
1043,1088
790,605
943,1028
947,994
821,1028
946,933
444,630
480,792
481,791
994,933
482,926
483,793
997,543
486,542
487,544
1000,619
874,935
747,727
882,910
882,911
883,911
645,722
775,914
651,884
652,838
653,842
1038,1036
792,902
925,1051
164,73
426,287
555,411
694,888
314,417
315,416
62,59
447,412
64,72
65,74
578,730
708,886
967,1056
80,75
87,71
855,989
856,1061
733,887
738,835
610,721
873,1060
752,901
753,898
758,90
129,353
266,340
267,344
267,348
268,347
269,344
269,349
140,353
16,494
1040,186
139,919
289,345
1063,494
49,102
51,354
308,346
55,102
441,493
66,316
71,344
839,824
842,819
77,348
207,185
846,822
234,495
107,317
366,233
113,493
375,178
132,151
260,265
1030,1054
1031,450
397,288
785,435
537,642
415,384
165,23
165,32
939,151
1069,518
306,118
307,119
439,579
440,554
442,580
450,506
454,449
456,510
457,509
202,256
331,386
332,389
330,385
458,508
464,576
83,200
84,148
597,833
726,150
216,374
470,674
469,578
466,577
478,437
233,291
362,620
367,466
371,289
888,979
889,978
381,465
135,145
905,966
906,967
782,290
783,290
783,726
1045,526
1048,735
409,95
1061,1086
937,929
554,502
940,1017
429,361
172,260
1076,95
451,980
452,980
841,874
970,400
972,678
973,367
209,481
977,402
595,929
595,1012
596,1012
598,528
342,418
857,1012
345,419
351,205
353,205
484,609
1001,1017
108,203
364,443
748,648
370,475
243,312
377,7
648,458
1033,921
911,1015
912,1016
913,1002
916,1006
917,1007
921,1003
922,1003
922,1009
923,995
670,677
671,676
163,235
291,387
1067,1089
1067,1090
1068,1090
824,490
59,16
192,451
193,263
833,851
326,995
205,282
204,274
350,444
99,18
867,1001
870,795
490,403
622,527
880,850
373,181
248,180
261,336
778,6
141,173
141,948
143,245
274,399
667,366
796,127
1053,245
798,152
799,162
801,66
926,6
168,258
169,248
38,192
1071,103
432,272
433,271
52,61
53,117
54,64
954,309
58,103
832,49
196,117
963,1050
199,236
208,294
341,410
88,49
348,408
743,36
363,409
1009,583
890,540
128,27
776,1073
138,30
138,286
398,420
272,378
17,845
1022,489
407,171
155,136
166,829
551,872
39,776
295,171
301,378
1072,623
558,342
950,500
183,281
953,745
951,187
188,869
834,172
327,985
217,286
730,776
731,776
732,776
222,254
734,776
220,314
101,135
124,82
116,25
246,214
629,873
380,397
1018,489
1019,439
127,27
515,549
516,591
3,195
257,313
2,33
908,922
13,197
12,58
654,843
894,923
153,247
540,590
158,239
543,1057
547,593
548,594
159,239
552,759
553,759
556,759
557,759
1073,330
180,132
325,564
86,210
230,351
751,896
755,843
252,350
510,592
1025,8
1026,10
134,9
1035,1078
780,480
781,284
784,810
1042,852
786,311
536,1048
27,47
28,48
29,41
29,43
672,909
422,352
435,2
823,15
1080,17
700,555
446,907
959,927
701,865
706,981
75,227
344,110
988,1022
989,1071
98,193
239,365
242,284
376,338
763,830
1020,813
1021,115
382,1046
384,438
133,202
22,62
416,164
162,111
1057,1014
809,534
810,221
171,45
44,194
688,618
822,718
57,106
826,19
186,356
958,13
320,396
194,81
586,617
459,482
462,11
214,3
219,285
347,441
97,38
354,276
227,125
100,26
872,608
106,91
1003,93
237,3
1008,998
112,51
118,131
891,501
1023,484
896,943
769,622
770,625
897,944
7,161
779,655
907,944
910,972
19,39
20,39
669,588
294,862
1078,382
182,163
574,582
321,479
966,1068
352,293
739,624
105,477
1002,249
361,477
746,752
238,368
624,1069
1010,250
885,587
1014,1059
121,128
125,129
895,945
773,808
774,807
263,491
137,238
391,262
1036,803
1036,804
1037,864
399,157
404,628
405,628
23,491
25,21
24,42
26,201
40,54
813,1070
304,917
818,804
819,803
198,89
969,1044
339,406
340,407
607,881
996,881
878,1062
497,881
887,269
633,1024
379,1038
254,261
1024,1072
5,191
389,613
6,213
393,434
395,188
523,600
1029,362
144,278
1041,1023
273,363
787,143
149,270
1046,962
282,114
286,323
1058,997
1065,996
1070,383
430,31
187,315
61,77
190,139
70,952
968,359
72,76
600,440
218,12
475,1045
232,184
235,218
236,218
494,530
1012,928
1013,802
