"id_ltable","id_rtable"
1162,2109
741,358
587,2816
809,2585
1012,813
268,3128
994,828
1299,697
571,3027
457,2622
1011,807
584,2818
378,2628
955,851
586,2530
660,235
95,1630
759,1949
1158,912
262,1122
348,1585
180,1542
876,2473
40,2050
92,1648
1283,496
987,825
1275,2338
1203,590
740,930
718,450
688,250
175,1485
641,545
621,289
1309,662
748,351
1146,927
973,2214
810,2586
353,2871
957,857
902,2605
1272,2744
1139,2197
89,1616
1344,644
421,2382
811,2582
979,2222
420,2388
1167,907
731,2313
1175,926
469,2480
746,349
589,2367
1294,703
471,145
1010,2379
734,435
732,432
1271,467
124,2845
588,558
647,311
437,2211
380,2676
1085,985
1142,2201
368,2757
41,2043
756,341
1199,580
1333,629
163,1486
1350,595
920,2558
570,2861
1333,993
704,407
742,356
831,2767
434,2233
851,2920
832,2768
1069,2049
111,1692
1195,1028
979,994
376,2638
990,2243
675,258
600,515
1179,896
538,995
753,1497
892,800
712,401
542,1504
682,272
115,1685
692,425
360,2856
1263,458
698,414
411,2872
1067,12
529,1600
123,1740
736,3017
456,2550
91,1681
1248,1065
785,2576
365,2849
981,845
779,2573
480,2457
783,2173
1079,997
801,2602
1230,499
1076,2093
1239,505
1237,509
796,2181
966,874
626,292
892,2791
1250,534
1115,792
1078,741
1098,965
774,367
1062,2063
1099,2289
971,836
1132,935
561,2386
673,255
543,371
1258,2926
372,2827
1105,2009
1202,584
951,891
1096,2460
548,2302
1031,763
1200,579
579,2532
266,2384
1088,975
855,189
460,2512
505,2162
1247,516
636,277
94,1629
701,411
57,2101
557,2112
442,2180
171,1472
1277,1031
308,3098
1018,771
1151,2126
1287,1035
525,237
935,2179
935,3008
1038,2339
1258,2765
633,281
950,2288
10,1953
488,2415
265,331
857,2505
799,2592
932,175
681,267
835,2914
323,3106
1145,2195
468,2134
836,2893
521,1808
423,2364
1095,966
524,2680
284,3028
738,433
112,1689
986,2238
538,2911
1264,2273
267,2503
772,2860
1111,495
803,953
618,291
519,2423
1286,2739
1220,559
1337,651
804,2599
672,1519
532,2516
817,400
199,65
450,2138
963,869
1310,663
944,2276
1173,899
1039,766
1168,2169
28,2000
