"id_ltable","id_rtable"
1024,2438
135,1886
1287,783
1287,2400
1291,701
1292,1633
397,2940
907,2354
531,3109
662,3117
921,177
788,43
788,2347
155,1893
539,2998
29,2002
417,2882
419,2886
933,2075
1190,2837
425,2354
561,2386
306,2976
689,251
689,2095
309,2019
443,2252
318,3116
320,2329
960,2333
705,2273
581,2583
1223,561
711,403
1105,792
1105,1955
851,2920
342,3049
475,2462
1115,792
993,2472
1124,575
357,2841
744,360
635,279
875,2475
1269,107
1015,2401
248,36
251,1791
895,1593
256,1770
387,2953
1158,912
765,388
1289,494
268,3128
1037,769
657,234
402,3047
403,2888
789,2493
283,2988
158,1911
37,2031
294,1431
809,2585
1073,3071
178,1548
305,2977
1332,632
313,3067
1085,985
448,1692
66,1574
836,2700
709,2786
73,1565
331,3044
460,2512
78,1607
846,422
119,1774
1117,1431
1250,534
481,2459
503,1586
233,2840
759,393
759,1949
659,238
914,2049
914,2556
394,603
1035,401
1294,703
1052,2946
157,1900
31,2006
1186,70
1186,1017
1058,2053
293,2971
1064,2057
553,923
302,2983
947,889
434,2233
183,1555
1080,2096
1082,2069
1084,2067
576,3041
1345,603
324,1449
1349,1017
712,2343
329,3041
465,70
465,71
1107,2016
468,2134
602,1853
347,603
736,75
480,2457
998,2064
1256,460
361,1017
368,603
115,889
627,2925
510,2089
512,3160
257,1769
518,1159
647,2298
392,2962
648,305
523,2195
645,332
645,1843
142,1809
1293,700
145,1843
534,2070
795,2594
544,1132
41,2043
426,2334
172,1962
1196,576
174,2430
50,2994
179,1543
308,3098
695,2768
823,2600
571,3027
438,2215
955,851
832,2768
578,2833
584,3220
219,92
225,2518
230,2334
486,1055
236,653
1004,794
238,728
1008,1534
371,2316
371,2518
372,311
888,375
505,2162
1021,2144
1022,1484
1022,2624
511,1473
511,1805
1297,689
1276,491
282,2060
282,2987
1050,760
1050,2345
1055,2280
1313,652
1317,318
1321,687
683,775
683,2278
44,2062
47,2076
1201,585
1203,590
696,418
1328,640
1212,548
319,3119
323,3106
453,2133
1353,621
1226,503
971,836
1230,499
719,446
1233,513
