"id_ltable","id_rtable"
3584,1995
1541,483
8,0
21,2974
22,1142
3098,1661
28,1573
2588,1913
31,1837
2591,1913
4129,2381
1057,76
1057,660
2592,1312
2599,1363
2603,1363
1066,76
3634,2986
1589,1995
55,2665
1081,89
59,1312
1596,526
67,2758
3141,1690
582,2675
1095,37
76,2831
77,2841
78,2758
78,2850
1617,2304
1108,1690
85,2292
2133,2870
3162,1704
2145,972
1636,560
2661,1690
103,56
1642,645
107,91
1645,569
1648,571
4216,2381
640,1142
131,1312
3210,1737
3221,1747
155,513
161,563
167,1716
2217,318
1711,623
174,2675
1723,632
3262,1083
1732,640
3781,2134
2246,1051
1225,217
2762,1995
1226,1902
3279,1573
4314,2517
1754,660
743,1995
2793,1363
2285,1083
4339,1690
3317,569
4342,526
3830,2843
264,1363
779,2304
3852,2182
781,1351
789,2843
280,2134
284,1509
3870,2193
3873,2304
1826,2733
1838,734
303,1645
819,2870
3380,2304
314,2542
2875,2182
3389,2098
1854,314
319,1754
1858,749
2370,1312
1351,318
2890,1516
333,1845
336,1870
337,1874
2394,475
2398,0
2405,2183
2929,1548
3445,1902
1914,793
890,2580
2939,1554
3456,556
3457,1913
2457,1202
3492,2304
935,76
1453,407
2477,1217
3503,1944
3502,854
1965,837
4018,2293
4017,2292
942,76
942,660
950,2974
1464,2851
3003,2517
1979,848
3002,2304
1985,2304
3522,1954
1474,427
1478,429
4044,2974
2510,2381
4049,2319
4055,2323
987,6
3548,1970
1506,645
482,632
1515,459
1004,20
3567,1954
2031,886
4082,2347
515,401
2565,1290
2567,1293
4107,2366
1037,50
526,2628
1045,57
2076,916
2601,1316
1607,536
2120,931
585,2677
4167,2415
3578,1990
1620,1469
3159,1162
1119,659
3172,1539
1640,564
2665,1354
2158,981
1140,138
3704,2079
2683,1354
3198,1726
3200,1728
125,253
642,791
4228,1076
1163,161
4240,2467
148,454
4251,2467
1693,609
671,2742
1186,1290
1701,616
4265,184
3754,2118
3757,1506
2736,1404
178,980
1729,257
194,838
200,536
1737,644
2260,1063
725,2788
3292,1290
4317,2520
3806,994
223,1404
2275,2331
4324,2524
238,432
240,1181
2288,714
2288,1990
1273,255
1275,257
2827,2615
3343,1830
2320,1108
783,2742
2323,1111
3863,1076
1815,716
3354,564
2331,1116
1824,564
291,1566
804,980
804,2856
2855,1484
3372,1853
302,2996
308,2856
831,2882
2881,1506
2897,1293
3923,2229
340,1108
1366,330
855,2901
344,2996
2397,1916
350,1961
3937,434
356,1961
356,2915
1381,346
2918,1538
1392,356
370,2964
372,2742
885,2924
1911,791
891,201
1917,1484
1919,798
1926,218
1415,356
1427,384
1426,1484
2453,559
1429,434
407,2357
930,2961
3490,1932
1447,401
2987,401
3499,1941
429,2525
427,919
2480,1221
431,2536
2486,330
2486,463
3516,1950
2492,1231
1481,432
1484,434
3533,1962
974,2992
1486,436
2000,716
3024,1612
3027,1615
979,2996
472,2571
1498,1484
2020,2744
998,1354
2538,1267
1003,19
492,218
1520,464
1519,463
3572,1990
3575,1990
506,2609
1021,2467
2046,1728
511,2615
4096,2356
3591,1999
3085,1655
1557,392
2070,910
2073,206
3101,1663
3104,1665
1056,67
2082,678
547,263
548,396
4135,2386
562,2660
3638,523
2622,896
2625,2344
1608,537
589,910
1614,545
2129,263
2129,803
3665,2051
1618,2664
4183,2430
94,2976
3686,1485
2152,31
1129,1977
106,2442
4205,2442
1646,961
110,113
112,2288
2163,985
4212,2446
3190,1721
4215,1273
1656,576
3193,1723
4214,2448
132,317
133,326
4238,2533
144,424
146,438
3736,2105
2713,263
156,520
162,572
1191,187
1704,618
3752,317
2220,26
173,663
1210,206
3771,746
1211,207
3773,317
190,805
1216,961
2241,736
2241,1826
2247,1052
3272,1788
1233,396
211,961
1240,1820
3802,843
3291,31
2270,308
3812,1721
740,2800
1774,678
4340,2533
4343,2534
3322,1820
1789,694
3327,1823
256,1313
2822,206
3336,1826
2314,824
1804,706
3348,438
2837,1468
2326,1655
3862,2188
1311,285
800,2854
3361,1843
289,1550
1840,736
304,1651
304,2448
1331,299
3892,545
328,1817
3924,2230
1879,694
1885,31
2910,1530
352,1974
1888,773
875,2916
366,2069
3441,438
1401,363
2938,363
3965,2257
382,411
3459,1530
1924,803
2954,263
3469,2446
1424,2149
1428,385
411,438
3484,1930
1951,824
2465,1208
2470,1213
936,544
4009,2288
2981,1584
428,2991
1969,2564
1458,411
949,2973
1975,843
956,2978
1475,910
459,2559
3020,1608
972,2991
463,18
466,2564
2008,572
2008,2534
2008,2943
2524,1254
3037,1622
3553,1975
997,16
3558,843
2545,1273
1010,572
1011,27
1014,31
3577,985
2042,893
2,1572
1038,51
3092,2155
1046,58
1559,494
4121,2375
4121,2445
25,1355
3612,1981
2590,1310
1059,341
1071,79
2096,2143
53,2649
1077,85
4150,2399
4149,2425
61,2710
4164,2411
2121,1472
74,1714
75,2822
1100,375
4176,2424
4177,2425
601,386
2140,968
3165,1572
98,1714
1123,2859
1127,2649
105,634
1644,568
4204,2425
114,149
4211,2445
115,1745
3701,698
1142,141
2685,1572
1150,147
2173,993
4221,2455
644,2720
2696,2817
1161,158
1674,592
3220,738
149,465
3222,1672
151,482
3734,2103
153,496
4250,2476
3227,79
3741,2109
670,2426
1697,613
3235,422
4260,2483
3241,2204
4268,494
2221,1029
687,375
3255,1542
1724,280
701,2768
2750,2109
1726,634
704,1542
2238,494
1734,328
1735,642
722,1278
1237,592
728,2791
1763,79
2787,993
1771,1122
1771,2155
749,592
3826,1714
3319,1480
4344,465
759,2817
250,1265
766,1542
1794,698
774,2828
263,1356
1172,171
267,1355
780,2834
2321,1109
1301,280
278,1460
1813,2908
2842,1472
288,1542
287,1532
803,496
2341,1122
294,1586
1835,2154
300,51
300,1626
2861,1017
299,1617
817,1163
309,1681
311,1698
824,2875
1857,748
2371,1145
3908,2218
343,634
3928,2872
3933,1480
2399,1163
3424,1888
1377,341
3425,1889
3939,2241
866,2908
3938,422
359,2019
1896,780
1386,349
2927,1546
1903,784
374,633
1403,364
1920,799
1921,800
386,2204
1416,174
1419,375
1423,380
2448,2103
401,800
403,2326
3476,2768
3483,1929
414,171
933,570
2478,1219
2997,993
952,2424
4029,2476
1469,422
447,2548
449,2550
3010,1599
2500,1617
970,1532
3019,1607
973,1460
3028,1542
1493,813
470,2568
4058,2327
3038,1623
479,2575
990,9
3043,1628
2025,884
3055,1635
4080,2345
4081,2346
4086,2349
2047,1607
2048,32
2048,1478
1025,38
4104,2315
520,2623
4114,2457
2579,107
540,337
4125,2377
33,1973
4134,2385
1576,1952
41,2535
4136,2310
1073,81
3124,1678
3127,1680
58,1912
4154,2402
1597,527
62,2717
1603,533
3652,1819
3652,2857
4165,533
2119,2477
4168,2416
3147,1696
80,2867
1104,1130
593,2686
597,2688
1628,553
4190,692
3679,2061
96,2502
1121,121
95,2984
1125,125
3175,1044
3180,1044
2157,336
109,143
3697,2062
628,2453
117,188
1144,143
2682,1367
4219,2453
4224,2457
641,2686
4232,22
4233,2463
3209,619
3212,830
3724,2096
2191,2857
140,22
140,2811
2194,1012
4249,653
1181,179
3230,121
1696,612
3236,1761
677,2746
3240,1436
1706,619
172,653
4269,2487
1199,195
3248,2107
1207,86
1727,635
3777,2062
1218,2416
4295,2502
714,121
1229,220
2254,332
2254,336
718,2781
1745,650
1236,225
3804,2150
222,1055
3296,1761
1252,237
4327,2385
747,121
3308,1813
2795,1854
750,2810
2286,439
751,2811
3318,1819
763,2819
3835,305
1787,692
3328,2061
273,1422
286,32
2848,1478
2337,1119
805,2857
1837,188
2351,1130
2362,1136
1338,305
830,2881
2883,1508
330,1825
334,1854
3408,2746
2899,242
1876,22
1369,332
1372,336
1373,337
861,1854
2912,2062
3428,1892
357,2310
3432,1896
364,2055
1389,352
365,2062
373,2122
2936,1553
3972,2260
907,2941
1935,812
910,2811
408,2365
421,1896
423,337
3497,272
1451,405
4016,2291
435,2538
947,2336
1466,419
442,179
4033,1436
4038,2310
2503,1240
4042,2313
1997,242
4046,2315
1492,439
3544,2122
1497,443
484,2581
485,352
4071,2336
2541,2365
1006,22
3060,2463
502,2605
1015,32
0,943
5,2757
1028,41
3079,1650
1543,484
1032,45
1546,943
2572,1297
3086,1148
4113,2308
1047,59
536,2639
24,1863
1560,495
2080,920
2080,2244
44,756
4140,2390
4143,2392
3120,1675
2610,2680
4148,2397
1593,1387
2106,1088
2106,1488
1083,92
2111,943
3138,1686
68,2766
2633,500
588,2680
3663,686
1113,115
1117,118
609,2694
97,1
2658,2328
3687,2066
623,2705
120,2308
1152,2052
4226,262
130,290
1154,152
3208,2039
651,2727
2700,1380
656,2729
4242,2735
3732,1687
664,2735
3738,2106
2718,1390
2213,1025
2214,1026
3751,2116
166,604
1703,1009
4273,2491
4275,2491
4276,92
1715,115
182,2639
4277,2957
4291,2789
2757,1
3270,1786
1219,1009
3786,943
3276,1026
2765,1424
3286,1796
727,2790
726,2789
4313,114
737,2797
2786,1437
3300,1807
2790,114
2797,1444
3823,2161
4336,2316
2289,1085
4338,1477
3827,2164
1781,686
3831,2168
2296,1088
1271,252
1791,696
1280,262
772,2826
2826,1461
1810,5
3346,2491
2841,1471
793,1437
808,1210
3375,1856
2863,1488
816,2868
1330,1390
3889,2202
310,1687
3385,1863
3898,2208
3902,2212
321,1767
3395,1871
2375,1148
1353,1210
3401,1873
3404,1876
1869,758
1880,765
3434,484
2926,1545
1902,783
882,2922
3448,1904
2430,2208
2432,2735
3462,1915
3468,1921
2452,1200
2455,1201
1946,1686
2970,1579
926,2957
1445,399
422,2472
4034,2308
2498,1237
3527,2066
1992,858
3021,1609
4045,2314
4045,2491
3540,2735
986,2705
4059,2328
2019,880
1000,252
3058,2212
1532,2039
2562,1287
3587,1996
1545,485
525,2627
2584,1305
1565,499
2589,797
1060,70
2596,1314
1068,1869
557,2655
49,2614
50,2622
51,2632
1076,84
2101,935
1075,83
57,2683
60,2703
1090,2054
73,2807
81,1534
3670,2054
1630,1287
3168,1706
3695,1694
3185,2352
3698,1769
3191,1563
3705,2080
122,2334
635,2713
1149,1372
1151,148
2688,1372
2177,997
2180,999
2694,1377
4231,999
138,2622
652,1439
2707,1385
4244,2470
3733,2598
2199,2324
152,488
1177,176
2715,881
2204,1020
669,2740
1182,231
4254,2879
4255,1454
4263,2484
3250,1377
3250,2245
1720,499
1728,1287
193,829
711,2776
4299,2506
1230,221
719,2783
209,946
4306,2513
3283,1795
4311,2515
216,1002
2776,1002
731,2793
1244,231
742,2802
1775,1805
1264,1706
3315,1818
4337,2513
1788,693
2812,1454
768,2823
2818,221
1800,705
3337,1769
2313,1102
1803,705
1807,709
3350,445
3357,797
799,2853
2851,1534
1319,288
2346,1125
296,1594
826,2878
827,2879
3392,1869
1863,221
843,2891
1355,321
2900,1522
347,693
351,1967
2914,1534
1895,2513
3948,2245
1387,1694
3952,2249
3956,2249
2932,1385
2423,2470
1405,365
3967,1314
2435,176
1413,370
2949,1563
3464,1918
3979,2050
1421,378
398,731
404,2334
1430,1230
920,2952
1432,2740
1437,997
1436,2625
415,2422
2975,2598
2978,176
2469,1212
1455,408
944,881
1467,420
2491,1230
964,2985
2501,797
1477,2878
969,2989
1482,433
462,829
2511,1247
4052,2321
4056,2324
1499,935
1500,445
4065,2332
2531,1260
2537,1266
2027,885
4075,2339
493,2598
494,70
496,2600
1012,28
503,2606
4089,2352
1536,478
4097,2358
4101,2360
517,2620
519,2621
1031,44
1529,472
14,2555
4118,2373
3606,2010
1048,60
4122,2376
3615,2015
546,2646
3107,2048
4132,2383
1573,506
4133,2384
2085,923
42,2543
3633,2024
567,2663
4152,2383
4159,2407
63,2725
4162,2383
69,2773
3143,1692
3148,1697
1613,205
3661,2048
2644,1791
4182,2429
600,2690
1115,116
1116,117
1629,554
606,2692
4197,2439
2663,1157
3690,2068
620,2704
627,238
2681,1366
1146,145
637,2714
4222,2384
1663,2725
1665,1241
647,2723
1673,591
3224,1750
665,2736
2219,1028
4271,2488
1200,2723
1204,200
183,747
1209,205
3770,2129
700,2024
3261,1779
2237,2795
3784,2135
713,2068
715,1948
1741,648
3789,2958
2767,1426
2766,382
207,929
2255,1059
4309,2514
1749,688
4310,582
3293,238
4318,2521
735,2795
1254,238
4330,1215
3306,657
1262,246
2801,1447
1267,2814
2291,2795
4341,2407
758,1169
1783,688
767,2821
2815,1457
257,2544
771,2825
3847,2177
778,2833
2836,2838
1822,722
2340,1121
2853,657
3363,1376
3881,871
3370,1852
810,2863
297,246
1326,295
2869,1495
1334,1495
2876,1502
1341,307
324,1791
1861,752
1872,2620
