"id_ltable","id_rtable"
1036,1711
11,2010
531,1089
1562,2274
1061,1284
38,2090
1079,1398
1086,917
575,527
1615,142
1118,1205
1651,694
630,964
631,1190
142,189
1686,2268
664,1094
1691,324
1704,99
688,1866
1729,1150
1737,830
1744,308
1240,1711
233,1557
756,1580
264,1266
1816,2215
1823,2010
1823,2268
813,2088
814,1102
1328,517
817,196
1331,1686
1337,312
1864,2088
841,1517
856,855
2394,409
859,716
350,233
1894,2204
2428,683
1933,990
928,2268
2474,1924
438,1958
961,982
450,458
2516,2050
991,2268
1521,1398
2034,1286
1524,1685
1524,1686
1015,1601
2554,1121
1019,629
516,735
1557,2226
2581,1390
2590,1059
548,1367
1066,2210
556,711
45,413
1589,691
1593,2021
1594,880
1088,280
586,1062
598,238
612,139
2160,1579
632,200
633,647
1658,2286
1149,155
640,1050
2195,1932
156,238
2210,1440
1188,2024
1705,344
1212,2103
1728,999
1220,1801
1738,1318
718,889
1237,22
730,741
1758,707
2273,419
738,860
230,192
743,1785
2288,1393
753,1229
754,57
775,344
788,1111
2326,2036
2327,572
1306,2216
290,470
1317,444
821,1762
829,1001
1344,792
2369,220
335,202
1385,127
1390,783
1396,2287
1401,1280
1403,567
895,195
1409,443
900,1131
1924,1141
1926,1392
915,482
923,821
1948,405
1964,1525
950,2183
2490,1033
463,3
1488,1991
2512,30
2511,2286
2008,1236
993,1010
2022,26
2039,681
513,1717
1029,970
520,180
1043,1951
27,1418
1572,1362
1063,105
2090,289
43,672
557,78
2095,1962
562,235
570,1417
1596,230
1602,69
2120,769
87,866
88,652
615,1417
635,1902
1661,1940
136,550
2188,768
656,1799
2192,1422
1171,1344
147,463
670,587
1702,208
171,1130
690,262
2227,2091
1719,750
1743,50
1747,2105
1767,2028
1777,79
256,1020
261,1931
1292,1843
779,2002
1811,481
800,1282
818,1519
822,1085
310,292
314,1274
1850,2225
2378,1028
847,1191
1874,201
1372,502
871,2081
1896,222
1393,241
1397,1216
2423,2171
379,214
