"id_ltable","id_rtable"
610,1595
2580,616
1061,1284
1459,1317
2463,1546
516,735
1938,73
2038,895
624,920
2227,2091
164,1467
2081,1419
1189,1969
331,1701
424,1813
774,826
2416,976
441,1363
1115,1425
2309,2179
1049,242
40,1558
1792,938
1328,517
413,1129
1669,839
871,2081
8,1759
487,801
1749,160
157,1822
1830,771
312,1699
1596,230
759,1897
1468,256
1878,1252
2053,1617
986,626
1635,1695
2514,566
1894,2204
594,2143
1102,1669
1309,2263
2539,416
1108,1881
877,103
519,743
635,1902
961,982
1603,645
1460,75
2582,1305
1037,642
1239,1832
2065,61
452,912
1725,624
344,916
1122,2151
1916,31
1215,215
1762,158
1649,74
1599,1524
291,1313
792,71
943,358
1731,1184
1245,2181
1642,2155
936,412
386,669
2349,1594
128,1099
2164,1973
248,1708
221,248
484,223
1899,904
798,1281
1153,798
101,197
743,1785
1428,1088
147,463
977,544
189,1494
2336,1391
1017,1977
2448,28
1959,1970
2143,1073
169,1987
75,719
1982,2102
631,1190
2216,851
976,1186
28,1176
2527,286
55,1694
1109,65
1156,1726
543,204
707,1569
1063,105
410,973
2087,491
1597,1360
952,752
1923,1733
2046,582
359,547
1533,1640
2289,1877
2528,506
1592,1110
2014,1526
1372,502
2541,119
2428,683
394,98
973,4
418,1529
14,2106
278,164
262,2043
2236,2060
1971,886
1291,2109
2364,307
20,742
1508,1404
716,2012
64,1256
2424,620
271,1975
69,1479
948,1706
2008,1236
71,1926
204,167
1777,79
2072,1484
2230,2265
1868,2238
13,1223
1136,1148
2167,1585
2319,2052
1124,29
114,1920
1652,1486
2085,816
1408,2217
2310,1477
272,585
1230,1415
2052,994
2427,2260
1242,279
1275,671
1283,240
1801,1626
194,1995
926,494
1668,260
2418,2100
2140,781
1663,1321
89,310
1046,37
839,998
1031,1501
934,334
2585,1903
2485,9
2277,2063
2288,1393
1737,830
1948,405
1457,835
2262,1424
1984,1705
1125,1948
2466,1510
336,2169
54,356
2376,972
1848,656
680,1887
630,964
330,456
2351,1981
562,235
2596,1681
2474,1924
2068,703
1322,1449
602,1257
2430,2245
2080,377
2115,190
746,243
2298,1963
1691,324
2447,421
1082,1535
1678,161
2522,348
2213,1835
1364,1338
1044,258
2535,40
2171,825
2201,957
388,1460
1900,509
662,500
313,1816
1977,1909
1481,1048
153,2211
1507,1049
1374,1842
1393,241
1594,880
2500,1541
681,2073
787,508
1292,1843
2595,1026
2456,1154
1571,90
595,445
2417,843
1354,2009
1572,1362
553,2232
110,336
612,139
1839,1009
398,1396
174,965
1462,290
638,1006
2311,1143
1298,1086
1225,17
1969,881
1416,2275
1784,1989
245,1215
1837,427
1765,1783
149,678
1324,1984
1607,1607
2107,1934
2172,1598
916,2083
2184,486
2045,1188
1880,1852
1388,763
1018,1295
1484,872
889,1945
2574,1896
1702,208
2338,2288
895,195
1931,1935
2270,1527
1686,2268
439,1574
626,710
302,820
2383,1071
2467,714
2032,1451
1005,795
115,91
1452,2125
1910,1516
616,1348
468,2038
2357,188
2249,1828
293,2127
328,955
307,2161
1008,282
2510,1065
1092,1356
1943,1781
23,1149
579,331
404,1676
2375,1116
1133,1748
1265,1603
714,472
1286,146
1670,205
165,341
1901,1867
957,2101
1867,1610
301,1968
1983,2098
491,193
2287,85
1306,2216
998,2266
959,1804
1590,2164
2250,2123
1167,325
210,2154
310,292
1209,822
1833,981
1748,1430
1760,856
438,1958
1444,1673
2100,2213
2316,265
669,2099
1401,1280
47,1133
2465,182
1646,894
945,859
239,813
348,162
2222,2282
470,991
92,1375
2367,1805
2109,2203
357,251
2412,1000
666,588
1633,505
2546,1846
264,1266
443,1993
1378,101
710,94
1631,1097
403,1894
