"id_ltable","id_rtable"
2050,270
516,735
18,1164
2581,1390
2583,598
49,1913
1589,691
1088,280
1089,104
586,1062
1631,1097
1125,1948
104,2174
105,2037
632,200
1658,2286
636,2023
1149,155
640,1050
1669,839
153,2211
674,1455
1188,2024
1705,344
174,965
183,580
700,132
1212,2103
1728,999
193,536
1220,1801
1738,1318
718,889
718,2104
208,1018
1746,1465
730,741
2273,419
738,413
739,1554
229,576
230,192
1766,1011
743,1785
748,618
753,1229
754,57
2308,2104
1286,146
775,344
2326,2036
1317,444
828,655
829,1001
2369,220
839,998
328,955
335,202
865,82
872,1057
1390,783
369,1200
1398,1996
1403,567
895,195
1409,443
900,1131
1924,1141
1926,1392
903,646
1932,761
2451,1084
923,821
1948,405
1451,761
1452,2125
1452,2202
2490,1033
448,913
459,1459
2511,2286
2512,30
1496,1829
475,911
993,1010
2022,26
1001,1498
2039,681
1541,255
521,2139
2069,1407
2070,880
2590,1059
1061,1284
2090,289
557,78
1594,880
1602,69
590,36
2145,935
2188,768
1171,1344
1686,2268
664,1094
2201,957
666,588
745,1796
254,529
256,1020
1799,1976
278,164
1823,2268
821,1762
312,1699
1850,2225
2367,1805
841,1517
2382,1078
847,1191
1372,502
867,823
2427,2260
380,1070
896,837
913,1004
1946,2145
928,2268
1457,835
2486,171
1473,1291
961,982
991,2268
484,223
1009,1226
1522,2065
499,165
1015,1601
2560,404
3,1125
1036,1711
2061,1127
1040,353
17,1808
1042,1638
530,1633
31,1434
546,1874
556,711
2092,2054
562,235
1593,2021
1086,917
575,527
69,1479
70,963
1615,142
79,1943
1111,1645
87,866
1121,473
1634,1506
2158,1518
111,1971
1142,1839
633,647
2180,852
1679,151
152,398
670,587
1702,208
1704,99
682,1218
683,1744
2224,1758
185,254
194,1995
1743,50
2259,67
1747,2105
1240,1711
1242,279
2274,41
233,1557
746,243
751,236
757,849
765,1672
1278,688
1798,2182
1291,2109
1811,481
1306,2216
805,637
1318,1929
2344,63
296,1355
1328,517
818,1519
2383,1071
341,1715
343,293
862,52
2409,2046
362,174
1902,2231
1393,241
1910,1516
376,1165
892,1122
1406,1824
2431,1916
2430,2245
1418,1720
1931,1935
932,62
933,1883
1975,858
443,1993
1983,2098
1993,1462
2514,566
2013,986
998,2266
1518,1917
1021,1534
1,1093
1539,2193
515,1075
1043,1951
531,1089
1562,2274
38,2090
552,1538
43,672
1596,230
581,267
2125,1235
1118,1205
612,139
2150,1718
616,1348
620,339
630,964
631,1190
635,1902
136,550
142,189
2195,1932
149,678
2199,833
1691,324
2209,1827
2210,1440
1698,6
168,1821
171,1130
688,1866
1729,1150
2246,1108
200,2196
1737,830
1744,308
1758,707
1775,870
1777,79
756,1580
264,1266
788,1111
1816,2215
1818,194
799,53
1314,693
290,470
813,2088
814,1102
817,196
824,1930
1337,312
1344,792
1864,2088
2378,1028
2388,1514
856,855
2394,409
350,233
1894,2204
2407,113
1896,222
1904,79
1397,1216
