"id_ltable","id_rtable"
129,67
514,196
514,199
514,200
515,199
393,149
143,289
424,71
427,138
428,137
438,288
67,285
70,288
72,290
329,110
476,204
13,231
62,280
104,322
399,142
23,241
174,160
66,284
89,307
90,308
91,309
417,180
422,295
49,267
76,294
77,295
78,296
233,267
105,323
123,166
133,232
5,223
136,232
138,223
14,232
26,244
295,11
53,271
464,78
106,324
372,182
4,222
16,234
17,235
282,222
421,174
307,120
218,57
224,40
249,207
122,46
3,221
29,247
159,221
459,319
81,299
88,306
130,238
11,229
20,238
33,251
35,253
40,258
42,260
63,281
65,283
231,99
110,328
257,102
140,59
274,104
151,45
24,242
153,49
41,259
338,59
485,102
103,321
511,76
388,302
406,302
25,243
410,154
439,19
64,282
197,10
205,243
334,56
86,304
360,20
366,243
379,156
31,249
51,269
247,318
256,77
9,227
142,237
15,233
19,237
30,248
162,4
52,270
61,279
214,237
346,89
120,4
416,148
55,273
326,145
458,145
95,313
356,257
507,206
132,239
8,226
396,54
147,116
21,239
154,47
290,209
45,263
47,265
102,320
487,215
487,320
242,101
497,320
0,218
69,287
344,106
98,316
109,327
7,225
434,165
50,268
54,272
56,274
204,127
467,82
339,66
97,315
238,93
373,268
502,0
404,183
34,252
44,262
46,264
85,303
92,310
2,220
10,228
398,152
532,329
32,250
43,261
59,277
60,278
87,305
111,329
1,219
18,236
80,298
93,311
6,224
12,230
301,208
48,266
68,286
94,312
99,317
127,190
