"id_ltable","id_rtable"
528,21347
20,16837
1561,21846
1053,3990
1053,20825
2077,11552
560,8136
572,4643
1108,10672
1636,4639
2149,4784
2149,10785
1650,2050
1145,4787
122,1749
2180,2070
2180,16172
1684,17948
1173,7215
1685,3437
1179,8242
1695,17274
1187,1629
1701,18549
169,3969
169,6003
1706,17026
1707,20080
1708,16226
1195,5364
688,3316
691,17289
2229,8835
1719,15203
1206,6003
1723,17765
1723,17766
2246,21190
1738,20132
213,20018
1241,17234
746,2741
2284,863
754,4102
1281,16682
2309,20862
1285,14281
1799,297
782,5390
1806,7161
1810,6172
1817,18425
1306,16837
1308,16540
2343,10785
2359,22047
1338,17543
333,3710
2388,18425
361,110
878,9557
879,20131
884,17167
391,7162
2441,11606
1942,1587
407,13781
926,4426
929,3990
1453,7898
1453,15106
1456,18231
2481,6885
1465,21941
1992,1274
1999,20189
1496,16180
474,18529
988,17345
990,18425
991,12312
2018,5207
1527,10983
1016,17939
1016,18187
1333,11421
531,19817
22,17882
23,16644
1569,21393
546,20551
47,11668
1601,20217
1602,19807
67,14615
1611,10670
1611,20417
2128,16274
2128,18103
88,18980
1117,16741
1128,17306
1128,19199
116,2219
629,2739
1657,16332
636,9151
1148,16756
1162,17390
1170,6670
2202,20276
2202,21638
2207,1774
2207,5711
2210,16560
2211,4646
2212,21840
1704,2740
2218,9579
684,17573
175,5431
1201,2939
1720,20522
2234,3830
1724,21393
1726,18463
194,6876
1732,5720
716,5898
1238,18578
216,1952
1754,21393
219,8696
223,5971
227,11814
1773,20276
1773,21638
751,3527
1774,18402
1782,10194
250,13869
250,21644
1791,19538
1794,20276
1794,21638
2306,18101
1804,14112
1294,17592
277,15099
1814,4167
1823,20095
806,21393
1830,7234
1835,10229
1848,3523
1849,15085
315,7705
833,18899
2385,3523
2385,7504
339,9611
339,13560
340,18622
348,8689
2396,18101
1886,17807
2404,17704
2404,20960
363,18691
1389,17297
889,2793
2425,9886
1404,363
894,21393
1921,17807
2433,17845
390,11602
2443,18402
408,7234
2457,17144
415,16503
2479,10669
1972,12132
2506,10194
1489,2077
986,6669
1502,5431
2017,16793
485,18622
485,20002
2544,16195
1530,21644
16,15182
2073,15479
1054,3986
1573,5415
2090,11058
1578,3323
568,21908
56,18761
571,7216
2111,704
1095,2702
603,21731
609,2109
609,9469
1125,8267
106,1499
117,7323
117,9327
1654,13416
632,13149
1661,21818
2178,8047
1175,19245
667,7079
168,20286
172,9213
2226,13149
1218,5267
199,16263
734,5991
1251,2073
1764,5993
741,11537
231,10436
745,11810
2282,899
1261,8266
2301,1914
771,5517
1284,21065
790,7485
1818,14612
797,6508
2337,13186
290,15478
2339,2236
291,2001
305,9323
820,6298
1342,9327
838,715
1364,3986
342,7323
342,21065
854,14022
349,4880
350,14612
1893,11120
1897,5422
1897,11444
1901,10882
1391,2976
2422,8663
1403,21315
1918,3986
387,6161
399,713
2452,2138
2452,21163
1433,4349
922,13506
924,387
1954,3986
2475,7296
1962,5415
959,21908
457,8018
458,9324
2509,12085
976,14840
2522,3324
2016,12006
2025,13873
501,3619
7,1303
1547,4788
529,17879
18,20306
1554,11834
1022,12116
542,15021
2078,3894
34,20563
2084,8987
50,4799
1591,17447
1085,17878
1598,13861
68,5236
68,15251
1096,2632
1103,14377
81,17194
1635,20243
1637,1270
2158,9026
110,8467
1660,11172
1150,11340
645,6760
2181,13990
1672,9027
2187,8159
2194,5101
1191,6675
2216,20675
2221,11340
180,6261
2239,9482
207,16759
2256,18110
2262,12116
1240,1303
2265,18698
737,6759
2295,21434
1787,233
2308,7474
1798,10001
264,16640
1801,13491
1288,15767
274,4996
1811,1143
1811,12931
288,17747
2345,15061
1321,12931
311,20436
1850,17488
2365,8618
2366,6012
2369,4356
1861,18357
2377,18891
336,20174
337,6115
1372,19687
2399,7267
870,14930
362,3235
2412,7233
1393,17763
883,19482
2421,2840
2421,15767
1407,21161
1920,13431
1923,10958
1418,14715
1419,14257
919,17371
1944,828
2458,18891
1454,10760
2495,12080
2498,3148
1988,9474
2503,20051
989,21304
1503,4198
1508,19514
2534,7378
2026,18648
1007,7733
2033,18679
1528,16916
513,3468
1570,14952
2083,14539
2082,2689
2082,11014
53,17892
1086,5095
2112,9288
1091,7000
1091,17121
2119,20314
75,21465
1614,11350
1112,10800
2144,9288
1639,8013
1129,8643
2156,14545
1646,14506
2159,16653
2159,17899
1663,10771
652,7445
2188,14564
141,11427
665,19197
1182,10803
164,18937
2222,9288
2224,14686
694,20006
700,806
702,21933
1729,881
706,13187
721,19036
723,9675
1748,17507
214,6368
215,6601
225,12627
244,8414
248,11662
2297,10869
1786,19742
765,15415
1291,17829
1295,6405
1296,21566
1298,8455
1320,884
309,19291
1858,516
1348,4578
1353,6819
2389,21566
2390,2480
1367,12146
1370,5172
1890,891
1890,2847
1891,15304
1904,8586
1904,14469
2426,17120
2426,18367
1402,20183
388,1450
901,20896
2439,881
418,1306
2469,19597
1966,656
954,1458
967,17203
2508,11582
1997,12451
462,9288
1487,3573
2514,10401
2514,19485
2006,13921
2519,8655
2520,15683
476,2717
994,3296
2019,16543
1510,19042
2540,11344
1516,888
1009,780
497,3071
2039,7443
1531,17433
1545,21374
10,7875
1546,14674
1036,10880
15,12081
530,17705
1560,19669
2076,18297
51,16399
1593,15809
1087,5803
1599,2345
1088,16975
2117,14557
2120,15809
74,12632
2122,14193
1612,12601
1098,8179
1098,11745
1617,14352
597,22043
97,15904
1127,18215
103,2446
1131,11691
620,856
623,14735
118,17478
1171,18893
662,17258
1686,19462
1686,20038
1181,16681
1181,17460
674,766
1698,17173
1700,13659
1703,17701
1712,5722
696,11691
1212,9874
711,7671
1741,17502
1230,4667
1236,3618
2270,10698
1247,7775
2287,21175
242,11691
1800,255
1289,17581
1289,20260
1292,18602
2317,15825
270,7189
783,7464
275,20623
1815,17571
794,21380
811,12394
1847,16486
2360,18798
2364,1185
830,14193
831,8632
2372,2649
2372,11964
843,8730
2380,454
352,17173
353,14169
2419,7455
380,18613
892,21096
1412,16818
2438,20822
395,99
2446,12305
917,17317
413,284
928,4282
1952,1769
1442,4338
1955,16511
1957,17570
940,21204
1965,14193
1455,14080
2480,12211
2482,18599
1975,8180
1982,8179
1982,20304
965,2807
2517,10724
2517,14169
984,7982
1500,17163
1506,16666
996,2750
1523,3913
1523,19003
2549,14193
514,14877
1028,6623
2053,5677
1550,11326
2063,6308
1040,2534
536,15737
540,9383
547,9295
561,18152
585,4912
1613,3709
1616,5677
98,2775
100,15194
100,17359
612,19780
1126,10674
619,1103
108,21709
1645,21857
1132,6743
1132,8791
625,18443
2168,15348
1155,10865
1155,10921
133,18758
1159,13109
149,19030
664,11618
1192,15020
2220,6743
2223,9713
692,18704
1205,8312
714,7675
714,16478
217,5274
1242,2465
747,19676
1775,4609
1265,9424
246,13589
2304,5677
2312,16567
1803,6872
785,10845
2322,3346
1809,17506
786,15873
1301,6494
1302,8965
278,19779
2332,6743
2332,18152
299,4644
814,16316
814,17184
1839,9064
1843,9691
2361,2818
316,19676
2368,15351
1346,3431
1357,10675
1871,14876
1360,994
1875,9386
856,16320
2393,12887
857,7347
1894,19296
898,15335
2435,20419
1415,6344
1425,8790
1428,19744
1428,20032
932,16316
2472,18152
1964,14803
942,1699
1984,1120
961,14317
1991,3920
1991,13891
968,3347
970,6930
465,7304
2009,2453
481,986
1509,9332
511,1392
1032,21925
2057,20421
523,3626
524,13867
1039,8305
1044,3009
37,5601
1066,8297
563,18915
598,3626
1114,19695
2154,11211
1649,6955
124,1007
637,15920
644,4072
2184,11689
1167,6351
1168,379
657,19655
657,21301
1682,8209
2195,16019
144,7970
661,8607
2200,20971
1689,292
159,9709
1189,2759
1190,10706
1705,14645
1711,17875
1202,10140
2235,7222
2236,3629
1220,3689
202,2447
1739,9663
206,6554
728,10175
732,9995
224,21724
1250,19472
2288,8353
1278,13684
257,9990
798,6373
1824,8307
1824,14224
802,11030
802,20115
292,4497
306,21886
1336,11951
1852,1527
322,9990
2371,6949
2375,4506
2383,17049
2387,20821
341,21301
2392,8214
346,8304
351,10048
865,1080
1392,4380
1392,20274
1916,10813
1925,17748
2444,15724
2445,13066
910,17308
1432,6230
2460,9626
1949,17302
2476,6955
1466,9433
2490,2373
2499,3682
2499,17308
1479,14308
2518,1527
471,19389
2524,21903
478,20274
2052,6286
1548,5692
17,7529
1555,14443
27,16000
1564,6914
31,16173
1055,4171
1061,3691
1575,18440
2091,11566
1070,18620
2094,15247
64,8391
2113,7684
