"id_ltable","id_rtable"
155,3446
261,5192
376,9389
284,2675
2088,17263
920,3246
678,8962
1217,5249
2230,12949
719,6972
2515,4424
1535,18999
1607,13172
2253,11265
739,11687
1349,4659
2160,9858
1657,16332
2508,11582
2193,9730
398,16514
1704,16231
595,14869
1877,2927
1868,4494
934,13148
1125,8267
2159,17899
594,20843
1077,11884
1784,11403
2305,10515
2139,101
1932,9095
537,790
514,14881
448,13173
2418,7679
2462,8175
2231,17839
1776,15489
2409,11714
2142,13934
669,12490
15,4282
2196,17366
559,20713
399,713
1813,1607
1229,5842
1545,21374
1151,18330
2507,5038
2341,7893
1423,9727
1602,10608
769,6362
1997,12451
803,4121
1454,10760
2229,14755
801,13029
2379,264
1987,16252
1029,16791
2481,6885
424,8534
1944,828
1080,14454
584,965
1641,15009
2397,10117
2006,13921
539,11542
717,20106
1563,430
2501,4362
1643,2779
709,1096
2028,12891
2440,6643
2502,16032
1193,5592
2344,6970
239,10617
530,18531
2267,2527
362,16307
1850,17488
2121,4432
1292,18602
2394,13251
346,8304
1451,4719
816,11998
991,12312
1280,17949
2408,6808
2365,8618
597,22043
1456,18231
7,1303
1640,9564
56,21964
136,2576
2190,21661
215,6601
1439,19654
917,17317
545,7624
542,13159
2396,18101
752,7075
2106,1253
1090,16634
1022,12116
737,6759
1315,21112
2435,20419
788,14901
961,14317
531,19817
2407,12311
151,691
541,9189
734,5991
1391,2976
1791,19538
705,12895
1733,21812
56,9164
1984,1120
66,3668
1774,18402
1949,17302
2297,10869
2052,6286
1558,12852
1183,11288
2154,11211
1362,17388
128,10640
1988,9474
1153,9237
577,19367
1398,4586
1841,2326
832,19556
625,18443
2412,7233
1148,16756
1714,18512
2191,16173
1233,12407
463,11440
1153,13245
1356,11269
1884,17578
2151,7338
1397,20805
1595,13390
2037,8519
1334,8618
475,12746
1907,10481
931,6451
1473,3250
181,12012
178,19149
1614,11350
692,18704
1316,4506
2237,1696
1686,17665
2167,17733
699,3856
507,11953
2155,4509
1591,3205
322,9990
1901,10882
1866,14359
2076,18297
2163,8469
1694,20397
1753,16220
1899,5458
1037,12168
415,20385
2405,8668
898,7383
561,18152
2374,3051
2379,10267
1195,5364
2165,21076
2257,8356
2107,8358
1862,15434
218,5046
2478,16862
80,6526
2196,19484
29,6031
54,6572
635,7145
2078,3894
1457,8346
1402,20183
2266,1616
496,4496
2209,17162
1628,6288
93,8350
2540,5175
741,11537
2317,15825
1908,20111
1230,4667
2324,20693
589,16953
1200,159
805,14294
832,4597
1964,14803
2265,18698
69,14641
1030,10555
2548,19117
2503,20051
1513,1592
2345,15061
258,10646
1282,1240
765,15415
1966,656
617,19540
2522,3324
693,2611
722,12995
1528,811
2039,7443
1233,18428
1489,2077
528,21347
1208,3254
916,8910
128,2701
2164,3694
652,7445
2037,21543
1349,12191
1236,7615
1701,18549
1893,11120
2364,17915
2259,14834
1324,912
1827,2578
159,5664
2387,20821
1860,5560
1121,14109
2192,3144
310,4720
527,485
1365,18372
1813,3253
1197,4814
378,21690
810,11428
1751,20117
1651,13804
1353,6819
1345,14257
86,7610
2030,13167
336,20174
598,3626
2353,13476
5,20932
2018,5207
2061,352
1299,15462
1359,1903
2210,16560
1466,11641
94,9051
2274,356
687,20212
49,8096
2344,4984
898,15335
1720,20522
1165,3695
1360,994
1418,14715
1592,16658
2511,21503
475,20392
680,843
2539,10705
205,10517
2438,2861
387,3169
660,10273
2133,10434
1992,1274
2381,3482
645,6760
81,17194
949,7346
2040,9550
545,7622
317,1082
2063,6308
1846,15547
902,6661
134,3740
2141,11048
2017,16793
415,17243
1832,432
1405,14894
1602,19807
1136,17383
57,13302
2069,21448
2482,19119
64,8391
396,7149
65,7156
264,16640
1708,16226
662,17258
600,12881
2474,14437
1256,20411
1641,11044
2245,3566
1930,15375
2239,326
2083,14539
1007,18142
785,10845
356,21591
1695,17274
2156,14545
1968,21511
2194,5101
370,15071
2000,14202
2264,19007
1694,11026
1980,4278
707,11829
2094,15247
1246,17191
720,13398
102,11759
801,8931
452,16645
1803,6872
30,11088
714,16478
715,7850
2378,11830
144,7970
2295,21434
222,1354
1573,5415
1104,1397
1137,4429
1863,21325
688,4783
1952,1769
1262,12734
2248,8368
1936,18140
1703,17701
2125,16072
91,17687
2342,638
2477,4884
1208,16935
78,12347
2531,19976
2074,17803
2219,245
1437,11704
1512,20844
2149,4784
217,5274
1209,9717
759,8381
1141,9253
1529,1441
1953,11438
1367,12146
841,7503
547,9295
1145,2867
2101,15843
725,16800
1473,3248
1832,13396
469,2720
1983,6913
1187,5479
1140,9097
1843,4900
1190,10706
648,4759
905,19636
108,21709
1413,2788
2132,7358
848,3153
1210,1324
1477,2432
1193,4493
1564,6914
1542,10127
857,7347
1988,2476
938,15252
211,400
312,13299
20,16837
550,19539
1412,16818
1031,13438
1506,16666
1252,9635
2093,16311
2213,21798
829,8897
107,12090
936,14004
2221,11340
1134,8789
131,5595
1081,21587
179,8545
2050,21912
575,1128
2461,13243
818,979
1905,7800
614,22045
893,11620
588,20108
1208,18170
276,15426
639,7371
2014,11740
1394,19580
1652,14384
101,2593
973,21568
1522,1025
1716,17396
983,18364
1577,13540
1660,11172
34,3067
1727,14918
1771,235
