"id_ltable","id_rtable"
2051,16599
517,4079
517,7407
2058,3490
527,485
527,4361
22,15108
2072,4159
1562,12169
1569,21393
47,19978
2103,2963
567,12173
584,965
1620,558
88,18980
1117,16741
629,2739
636,9151
1162,16809
1162,16958
1170,10163
2202,6079
1695,17274
2207,1774
1697,16578
1701,18549
1195,5364
1708,16226
182,7399
194,6876
1732,5720
711,7671
716,5898
2259,14834
227,11814
1773,21638
1782,10194
250,13869
255,11302
1793,7712
1804,14112
2323,16809
277,15099
1814,4167
1823,20095
1830,7234
1835,10229
2351,10110
304,19884
1845,185
1848,3523
1848,7504
1849,15085
826,16007
315,7705
833,18899
2385,4446
339,13560
339,21488
340,18622
855,7163
348,8689
1886,17807
863,6464
2409,11714
363,2939
363,18691
1389,17297
892,21096
1404,363
894,1517
1921,17807
390,11602
1930,15375
398,16514
915,20002
916,8910
1429,6464
408,7234
2462,8087
933,4216
1489,2077
2515,9967
485,18622
485,20002
1515,5151
1515,15376
492,14430
491,19957
493,17617
16,15182
2073,15479
1054,427
1065,6601
1065,10600
41,6816
2090,11058
1072,3167
56,8868
56,16349
1596,899
2119,20314
1095,2702
75,5909
75,12400
1112,10800
1125,8267
1129,8643
632,13149
2188,10441
150,1047
1175,19245
667,7079
1182,10803
164,18937
168,20286
172,9213
2226,13149
694,20006
706,13187
199,16263
723,9675
215,6601
1245,9553
734,5991
2271,10991
1251,2073
231,10436
745,11810
1261,8266
765,15415
2301,1914
771,5517
1295,6405
1298,8455
790,7485
1818,14612
797,6508
800,12465
290,15478
290,20220
1320,884
820,6298
309,19291
1348,4578
1351,19691
1353,6819
1367,12146
1370,5172
349,4880
350,5848
1890,4778
1890,10798
1892,19691
1893,11120
2422,8663
1402,20183
2427,1156
2427,1159
2427,1247
1403,21315
387,3169
909,12299
909,15128
399,713
1433,4349
922,13506
1953,11438
2475,7296
954,1458
1997,12451
1486,13414
1487,3573
2509,12085
2519,8655
476,2717
2025,13873
2540,11344
1516,888
1009,780
501,3619
2039,7443
1552,9156
20,16837
23,14262
1561,21846
564,16487
564,16772
1094,10898
78,8607
597,22043
1636,6235
1636,19715
1648,292
119,9282
633,11029
1663,10771
644,4072
654,14489
655,14266
144,7970
145,8602
661,2591
661,8607
1685,15391
1689,292
169,6003
1706,17026
1206,6003
1206,13993
1721,297
1721,17436
1721,17765
1723,17436
1723,17766
1725,20349
1214,10192
1234,11748
1747,15316
746,2741
236,20342
237,20349
2287,21175
1279,297
1279,17765
257,9990
779,5189
1294,13944
1294,14246
270,10281
1817,21296
1306,16837
2331,7294
795,20291
1316,4506
2362,17735
322,9990
2375,4506
333,3710
851,12312
2403,12629
866,1431
1382,10535
1382,14492
361,110
1902,9537
879,10535
2429,6266
395,99
2446,10311
2446,22043
407,13781
2460,9626
1450,9282
1456,18231
448,7166
450,17345
450,17346
1985,10312
1990,17351
1990,21296
1479,14308
1496,16180
988,7032
990,18425
991,12312
1517,11516
507,19705
1533,289
512,13063
7,1303
1040,2534
18,20306
534,20721
26,537
542,15021
34,20563
2084,8987
1578,3323
2096,2974
571,7216
68,13268
585,4912
1103,14377
81,17194
609,4089
1635,20243
619,1103
622,19031
2158,9026
117,7323
117,21065
2168,15348
2178,10956
645,6760
1672,9027
2194,5101
679,21391
1191,6675
180,6261
2239,9482
1219,14406
2256,18110
1240,1303
2265,18698
2269,970
737,6759
2298,4541
256,970
1792,8494
1284,9327
261,12129
1798,10001
1803,6872
1811,20778
2345,15061
1321,10793
1321,18989
1842,12931
1334,8617
1334,8618
1334,19791
2359,22047
2365,8618
1342,21065
2368,15351
1345,14257
834,10940
2369,20052
1861,18357
2374,3051
336,20174
337,6115
1360,994
342,21065
1378,391
870,14930
362,3235
2412,7233
1901,10882
877,9960
1391,2976
883,19482
1923,10958
1926,9729
1418,14715
1944,828
1945,2632
1945,12116
1436,4617
2503,20051
970,6930
976,14840
982,9470
2522,3324
1508,19514
2026,18648
1007,7733
2033,19398
2032,1145
1528,16916
505,4541
1022,12116
1545,21374
529,17879
1554,11834
2078,3894
1058,2261
2086,13480
2097,21457
566,16626
1591,17447
1085,21145
1598,8345
1598,13861
2112,9288
583,21305
2123,1794
2144,9288
99,21374
2149,10785
1637,1270
1133,9288
110,8467
1145,2867
1659,16346
1660,11172
134,3740
136,2576
2187,8159
2199,20395
1187,5479
1194,19312
174,1516
2222,3507
2222,14691
688,3316
2224,14686
1212,3200
1216,18539
2249,1237
2249,7204
1226,5477
1227,5474
1227,11495
1227,21616
1228,11499
207,16759
1236,3618
244,9288
2293,7043
1787,233
2308,7474
264,16640
1801,13491
1288,15767
783,7464
274,4996
799,19562
2343,10785
811,12394
311,20436
1339,7883
1341,2057
1857,2278
2377,18891
2380,454
2390,5942
1372,151
861,11943
2399,7267
1393,18382
2421,233
382,19784
1408,9829
1920,13431
2434,7686
2441,11606
2453,17247
919,17371
1947,19995
1442,4338
1967,7317
1968,21511
2481,6885
1463,10238
1465,3729
2495,12080
2498,3148
1988,9474
460,4338
2508,11582
462,3507
983,18364
984,11582
984,21866
989,21304
1503,4198
992,13228
2534,7378
2048,2689
2048,10489
1025,3135
1033,5402
1033,19609
1546,2802
1546,4718
1546,14674
528,21347
1560,19669
2077,11552
43,45
568,21908
572,4643
1599,19524
1098,6140
1098,16120
2122,14193
1612,12601
1614,11350
79,18186
79,18495
1108,10672
1640,15490
1640,16437
1139,2035
628,17656
627,10489
1150,11340
2184,11689
1166,11206
1167,21301
657,21301
1686,20038
1179,8242
1693,8544
1693,17438
1693,18880
159,9709
2221,11340
1718,12856
1220,3689
2246,14160
2250,692
202,2447
1738,20132
724,7071
1241,17234
2284,18557
2284,18558
2288,16531
2310,5402
775,21301
1292,18602
2317,15825
1810,21438
794,7748
798,6373
306,21990
2356,5527
1846,15547
830,14193
1858,8209
338,3833
2387,20821
341,21301
353,14169
2407,12311
2419,7455
1397,20805
886,2689
886,10489
376,9389
386,4058
388,1450
1942,1587
1943,15780
413,284
1952,1769
929,11351
2470,14525
1965,21539
2483,20805
438,45
1975,8180
959,21908
1989,3972
1992,1274
457,8018
1999,20189
978,18556
2517,10724
2524,21903
2018,5207
494,4220
2549,14193
1527,10983
1016,18557
1532,21694
2067,2824
1571,14949
1060,6743
1062,6978
1067,2815
1067,4725
1067,10740
561,18152
1079,5012
2104,2820
2104,8784
2114,2829
612,2829
1132,6743
1132,8791
1135,10869
2174,1051
2175,119
1679,20123
1178,18153
166,12781
2220,6743
701,12790
198,2816
198,8784
1258,21936
2297,21933
1275,12086
763,2514
263,12086
1809,9064
1809,16909
1809,17506
786,2829
787,4739
278,19779
280,4723
280,5349
1329,8784
1329,10741
1839,2816
1333,11421
852,12781
853,20542
2391,12790
856,16318
368,2824
887,12783
2432,21936
1425,8790
1959,19283
444,14949
1492,804
994,3296
2541,11272
2546,4724
524,7891
1550,11326
531,19817
1043,3896
540,9383
1057,16474
546,20551
547,9295
549,15125
40,1306
2108,8720
1602,19807
2115,12787
1093,5462
582,3007
582,12971
1099,7727
2128,17144
2128,18103
1616,22007
1647,16392
111,3189
116,2219
1148,16756
1155,10921
1688,9336
2210,16560
2212,21840
1192,15020
684,17573
686,19743
1714,18512
1720,20522
703,3907
703,18759
714,7675
219,8696
1763,17306
1257,14687
2286,3346
751,3527
1774,18402
249,21092
1791,19538
2306,18101
784,12733
785,10845
1301,6494
2335,8279
1312,3711
1312,5689
1825,13685
2352,3189
316,5232
327,1306
1871,14876
1875,9386
1881,13703
857,7347
2396,18101
1887,3716
865,1080
2402,16273
1392,3108
2425,9886
896,1632
898,15335
2443,18402
2445,13066
2457,17144
2464,13686
2464,19186
418,1306
957,3896
961,14317
2499,13867
971,11430
971,13426
471,13067
986,6669
2009,8697
2017,16793
482,8431
2021,17374
2021,17451
2544,18025
1012,20116
1530,21644
2043,1751
2043,21496
511,1392
1536,12098
2,16495
2052,6286
1549,3465
17,7529
1044,3009
1052,16774
31,16173
2081,10652
1573,5415
1061,10652
1581,12098
1070,18620
2094,15247
49,8096
53,17892
64,8391
2113,10652
578,13381
576,2818
576,16598
1605,806
1114,19695
1627,7402
92,8778
2138,9734
1120,17961
107,12090
1649,12982
625,18443
626,14707
626,16608
2165,21076
1654,9467
1670,11298
2185,6075
2185,12098
649,1427
143,17825
2191,16173
671,16444
170,13931
184,2959
700,806
1229,10854
2258,8795
1752,10280
1247,7775
226,18373
744,15530
2302,2269
767,9915
772,18440
774,20600
268,15238
1303,16173
2330,18515
2332,18200
2334,10108
819,4114
819,6068
823,10652
2358,16216
2361,2818
1860,5560
847,2112
1365,18372
869,10114
1390,4562
2423,4765
1406,18423
2431,10652
2430,19011
900,8970
1950,7725
417,2819
417,18507
2473,10652
1962,5415
1962,9467
1962,13416
2476,6955
1457,8346
2485,8095
2488,5635
967,17203
2504,18200
1996,10652
987,2812
1505,4082
513,3468
515,6844
1036,10880
14,2635
2063,6308
1055,4171
2083,14539
557,4817
563,18915
2105,5529
2117,14557
1607,20671
74,12632
591,5594
1617,309
1619,9585
95,10966
1126,6497
1639,8013
2156,14545
2156,21372
1140,9097
1143,10325
123,4194
131,5595
1159,13109
2200,20971
1690,4226
2216,20675
2219,12690
1197,4814
2245,3566
1742,15527
1230,4667
1242,2465
225,12627
238,203
238,4451
238,6497
1775,4609
2295,21434
1278,17049
1796,20791
776,15525
2313,21641
2322,5589
789,5017
287,3925
808,19184
1833,9342
313,8870
2372,11964
845,6366
1870,660
2383,17049
1891,15304
2405,8668
1388,7957
891,3545
380,18613
2435,20419
2444,4813
918,15883
1435,7324
1949,17302
422,10013
1964,14803
1454,10760
1966,656
942,1699
1984,1120
1991,7956
2002,5014
2006,13921
2525,5372
1504,4817
996,2750
1510,19042
490,5529
490,12536
2538,2279
1523,19003
2548,19117
2038,600
1535,3641
2049,2428
1028,11618
2055,14729
523,9658
2061,352
1038,19035
536,15737
545,7624
37,9302
551,1848
1066,8297
2109,19712
1611,10670
2132,7358
2133,8990
598,9658
2141,11048
94,14922
100,7051
1641,15009
1130,7410
1642,9471
1645,21857
1657,16332
1668,19552
1168,379
1168,8304
2195,15285
663,7135
664,11618
1185,11039
2211,4646
1188,1715
1188,9146
2218,6395
1196,9473
2225,1420
2225,10107
1205,8312
2232,6109
2234,3830
2236,3629
1210,1324
1726,18463
2238,21675
192,11131
193,19880
2237,1696
1217,5249
709,1096
206,6554
1749,7829
1751,20117
218,5046
732,9995
1762,4981
1250,1319
1270,7312
1806,7161
1821,10712
802,20115
1317,9408
1317,15355
1832,432
835,9331
1865,5804
329,7314
2393,10368
2393,12887
346,8304
2408,5518
2414,15926
1909,11284
375,5041
378,21690
2433,17517
385,18965
1411,761
389,10543
1415,6344
1932,9095
2466,6345
931,6451
2479,10669
1971,2472
949,7346
1466,9433
1981,21677
1471,20758
962,9107
1474,3961
2507,5038
1493,21342
472,15367
2008,14092
2030,148
2030,13167
2030,20736
2552,2320
1019,18881
519,14264
525,10628
15,12081
530,17705
24,7340
537,790
2076,18297
35,15042
2095,21724
51,16358
1081,21587
2106,1253
62,19310
575,5075
1087,18893
1104,1397
1109,8091
1628,6288
93,8350
617,19540
118,17478
121,21110
637,15920
638,4328
2192,3144
1171,18893
662,17258
1698,17173
1700,13659
2213,21798
181,12012
696,11691
698,18248
1737,21662
211,400
725,16800
1244,11110
733,12243
224,21724
742,8235
1769,5882
239,10617
242,10180
242,11691
757,2409
1789,11778
259,10734
1800,255
1293,8344
275,20623
796,12290
1314,4647
2364,1185
1862,15434
838,715
848,3153
1366,15881
343,19986
1885,2010
351,10048
352,17173
2401,4328
880,3983
880,5986
885,10037
374,6278
374,14252
1908,20111
1412,16818
1413,2788
1414,2485
1420,11110
1420,14078
1432,6230
924,387
416,19475
928,4282
1957,17570
1455,16409
437,2373
2490,2373
977,409
977,11580
985,9570
985,18738
475,781
1500,17163
1000,8404
2024,6790
1021,3983
1021,5986
516,3617
516,10161
516,13606
1031,13438
8,12152
2062,6199
532,6032
532,8071
1048,13711
1563,430
29,6031
544,8999
550,19539
1063,3145
1068,49
558,5883
2098,12550
1588,17942
54,6572
57,13302
2126,3149
1630,11469
96,10040
1124,15647
2148,7593
631,4377
120,14795
1152,6184
1666,6194
1671,20794
1163,4836
670,8591
670,10527
1183,11288
1186,16092
2217,18300
1709,18038
687,20212
178,19149
690,12896
1215,8691
705,12895
707,8042
2243,481
205,10517
2254,6204
2254,14185
2255,14015
1743,10161
220,14095
2274,356
1253,18559
1254,17392
233,7446
2281,5934
2289,10161
756,21154
1272,16156
1282,1240
1797,6004
2319,7446
788,14901
2326,19268
793,10077
288,17747
289,18559
1326,13780
821,20068
312,13299
317,1082
829,20249
1343,4001
326,171
1350,11257
2378,11830
1867,7015
1869,8591
1869,15515
2386,482
347,14458
1383,13606
1394,19580
1394,20249
1430,11656
2459,7486
935,14800
936,14004
2477,4884
950,15942
1974,15964
1470,12082
463,11440
2511,21503
464,2797
2016,12006
2028,12891
2029,14035
1005,11657
2031,9533
1522,6850
2040,9550
1017,3299
1539,4756
2071,8814
535,9024
33,8686
1577,13540
2100,13349
1590,12104
1590,16047
573,5815
1091,7000
2124,11564
592,4421
592,12495
2134,128
601,18202
603,21731
606,1442
1127,18215
1646,14506
1141,9253
1147,16211
1151,18330
1154,1288
1156,20637
133,18758
648,8812
1674,19094
1176,16382
2209,13563
1703,17701
1707,20080
1713,21093
1716,17396
692,18704
2233,11560
1218,5267
722,12995
1235,14157
1238,11342
217,5274
234,9335
747,13170
243,14982
761,21777
766,6167
1285,7806
265,21986
1815,17249
2329,14073
1311,3097
299,4644
2348,10668
1335,18576
2360,18798
1346,3431
1349,12191
1863,21325
2381,3482
1359,1903
1362,17388
2394,13251
366,209
1905,11801
1907,10481
893,11620
1934,8649
2456,9575
419,5215
1956,16815
2469,17843
2469,19597
429,3273
430,4193
1462,16833
1462,17412
467,18122
1506,16666
2019,16543
2531,19976
1509,9332
998,1408
1513,1592
1008,834
2037,21543
1531,17433
2047,8524
1543,4322
2059,5734
1564,6914
1568,21036
2091,14076
555,18712
559,21310
1584,4046
1075,2661
577,19367
66,3668
580,3505
69,21809
594,20843
1621,16058
1623,8197
2136,13697
91,17687
1121,14109
1638,13971
1638,17794
102,11759
2151,7338
1652,14384
1144,7370
1658,2501
1165,3695
1684,17948
2196,17366
1687,18897
1177,20811
153,21995
675,17150
693,6629
183,15598
1208,3254
1208,16935
1208,18170
697,7737
1209,9717
209,15637
2260,13722
1753,16220
222,17534
736,15518
2276,12760
740,17808
1256,20411
1777,17901
1780,18897
1287,15033
272,3965
1812,6324
1813,3253
2328,16352
2342,638
302,16807
818,979
1338,17543
1855,12474
1868,4494
1358,8147
1872,4012
858,12655
1884,15094
360,19067
370,15071
1906,4012
884,17167
377,17170
912,19337
917,17317
920,3246
926,4426
1440,2654
433,6324
1983,6913
1473,3248
1475,2678
1994,18658
459,20827
2523,10365
2013,9226
484,15449
1512,20844
1514,14521
1023,13587
1026,21270
9,2456
1548,5209
1045,2209
1045,11609
1049,11954
539,11542
1567,1816
1567,6301
2093,1166
46,19698
2099,12941
1076,15117
1086,5095
65,11129
1090,16634
587,14455
1615,12973
1105,8089
86,7610
97,18997
104,11791
1643,2779
2159,1139
623,14735
624,4039
2167,17733
2197,7744
151,14577
1692,11687
156,11954
672,2944
162,18406
677,17839
1198,14823
176,4854
2231,17839
189,3337
710,2945
1736,10996
2248,8368
721,19036
1748,17507
2272,12417
1249,2931
739,11687
2285,14368
2290,8322
2294,10419
1786,2223
1786,15078
1276,20997
1790,19800
2307,16442
266,9654
1291,17829
1802,15678
782,2330
1820,851
2336,19812
1840,2223
321,20697
1866,14359
1356,11269
334,10661
850,484
850,8443
859,2223
2397,10117
355,4909
1380,20890
356,21591
371,20697
2438,20822
1927,19026
902,12770
1929,18268
2442,17452
394,17139
394,17444
397,13483
409,18669
938,15252
940,21204
1459,19650
1461,13751
1979,10541
1469,5386
958,8178
1472,11743
2501,4362
2501,10419
1478,15680
455,19347
1481,4162
1481,12072
1481,16118
1482,10825
2512,15253
469,19257
2520,15683
2012,17452
1525,6660
1525,12543
2044,19742
0,6144
1538,4755
2050,21912
1529,1441
2551,3782
1576,460
45,3773
1069,5096
1071,16126
2101,15843
1592,16658
1594,3903
59,2162
1595,13390
574,20580
581,17697
108,21709
1136,17383
129,8121
129,10595
132,12839
138,11468
651,18120
1676,12030
149,19030
2208,13422
160,985
163,123
680,843
683,1850
1200,19354
1211,17850
1211,20840
712,21337
210,9489
1766,5888
1779,9712
759,8381
1784,11403
252,4310
768,6360
769,6362
769,10398
1283,2264
2338,6111
805,14294
812,4005
1330,11397
1843,9691
1854,10030
846,6360
1874,14194
1369,14864
860,14345
